iter	Passed	Remaining
580	17703	12767
581	17741	12742
582	17776	12714
583	17810	12686
584	17844	12658
585	17878	12630
586	17913	12603
587	17947	12575
588	17983	12548
589	18018	12521
590	18053	12494
591	18089	12466
592	18122	12437
593	18156	12409
594	18193	12383
595	18229	12356
596	18264	12329
597	18299	12301
598	18327	12269
599	18357	12238
600	18387	12207
601	18417	12176
602	18446	12144
603	18475	12113
604	18507	12083
605	18537	12052
606	18567	12021
607	18596	11990
608	18623	11956
609	18652	11925
610	18680	11893
611	18710	11862
612	18740	11831
613	18769	11799
614	18799	11768
615	18829	11737
616	18859	11706
617	18887	11674
618	18916	11643
619	18944	11611
620	18974	11580
621	19002	11548
622	19032	11517
623	19063	11486
624	19093	11455
625	19122	11424
626	19151	11393
627	19181	11362
628	19211	11331
629	19241	11300
630	19270	11269
631	19298	11237
632	19327	11205
633	19362	11177
634	19389	11144
635	19418	11113
636	19448	11083
637	19477	11051
638	19507	11020
639	19537	10989
640	19564	10957
641	19592	10925
642	19621	10894
643	19650	10862
644	19678	10830
645	19707	10799
646	19739	10769
647	19768	10738
648	19797	10706
649	19826	10675
650	19856	10644
651	19884	10613
652	19913	10581
653	19943	10551
654	19971	10519
655	20002	10488
656	20030	10457
657	20058	10425
658	20086	10393
659	20115	10362
660	20148	10333
661	20177	10301
662	20206	10271
663	20236	10240
664	20265	10208
665	20295	10178
666	20325	10147
667	20354	10116
668	20383	10084
669	20412	10053
670	20441	10022
671	20469	9990
672	20497	9959
673	20525	9927
674	20562	9900
675	20590	9868
676	20622	9838
677	20651	9807
678	20678	9775
679	20707	9744
680	20737	9714
681	20767	9683
682	20811	9659
683	20840	9628
684	20869	9596
685	20898	9565
686	20927	9534
687	20956	9503
688	20988	9473
689	21017	9442
690	21045	9411
691	21076	9380
692	21104	9349
693	21134	9318
694	21164	9287
695	21194	9257
696	21225	9227
697	21255	9196
698	21283	9164
699	21311	9133
700	21340	9102
701	21369	9071
702	21400	9041
703	21430	9010
704	21460	8979
705	21488	8948
706	21517	8917
707	21548	8887
708	21580	8857
709	21609	8826
710	21638	8795
711	21666	8764
712	21696	8733
713	21725	8702
714	21754	8671
715	21783	8640
716	21812	8609
717	21838	8577
718	21868	8546
719	21897	8515
720	21926	8484
721	21956	8454
722	21986	8423
723	22017	8393
724	22047	8362
725	22078	8332
726	22108	8302
727	22136	8270
728	22166	8240
729	22196	8209
730	22225	8178
731	22255	8148
732	22284	8117
733	22313	8086
734	22345	8056
735	22374	8025
736	22402	7994
737	22430	7963
738	22459	7932
739	22491	7902
740	22522	7872
741	22550	7841
742	22579	7810
743	22609	7779
744	22637	7748
745	22665	7717
746	22696	7687
747	22725	7656
748	22753	7625
749	22783	7594
750	22818	7565
751	22847	7534
752	22876	7504
753	22905	7473
754	22935	7442
755	22964	7411
756	22993	7380
757	23022	7350
758	23051	7319
759	23081	7288
760	23108	7257
761	23137	7226
762	23167	7196
763	23196	7165
764	23225	7134
765	23258	7105
766	23288	7074
767	23317	7043
768	23345	7012
769	23374	6982
770	23403	6951
771	23431	6920
772	23459	6889
773	23488	6858
774	23519	6828
775	23548	6797
776	23575	6766
777	23604	6735
778	23635	6705
779	23665	6675
780	23694	6644
781	23723	6613
782	23752	6582
783	23782	6552
784	23812	6521
785	23841	6491
786	23869	6460
787	23900	6429
788	23928	6399
789	23954	6367
790	23985	6337
791	24014	6306
792	24044	6276
793	24075	6246
794	24104	6215
795	24134	6185
796	24163	6154
797	24192	6123
798	24218	6092
799	24247	6061
800	24278	6031
801	24307	6001
802	24336	5970
803	24364	5939
804	24393	5908
805	24424	5878
806	24453	5848
807	24482	5817
808	24512	5787
809	24542	5756
810	24570	5725
811	24598	5695
812	24628	5664
813	24657	5634
814	24686	5603
815	24714	5572
816	24745	5542
817	24775	5512
818	24805	5482
819	24834	5451
820	24864	5421
821	24894	5390
822	24924	5360
823	24953	5329
824	24983	5299
825	25013	5269
826	25043	5238
827	25072	5208
828	25101	5177
829	25129	5147
830	25158	5116
831	25187	5086
832	25216	5055
833	25245	5024
834	25277	4994
835	25306	4964
836	25336	4934
837	25364	4903
838	25394	4873
839	25423	4842
840	25453	4812
841	25481	4781
842	25515	4752
843	25552	4723
844	25589	4693
845	25626	4664
846	25663	4635
847	25698	4606
848	25734	4577
849	25771	4547
850	25807	4518
851	25842	4489
852	25879	4459
853	25911	4429
854	25942	4399
855	25972	4369
856	26002	4338
857	26032	4308
858	26062	4278
859	26091	4247
860	26120	4216
861	26150	4186
862	26180	4156
863	26211	4125
864	26241	4095
865	26269	4064
866	26302	4034
867	26331	4004
868	26361	3973
869	26392	3943
870	26422	3913
871	26451	3882
872	26480	3852
873	26508	3821
874	26540	3791
875	26569	3761
876	26599	3730
877	26632	3700
878	26662	3670
879	26691	3639
880	26719	3609
881	26749	3578
882	26779	3548
883	26808	3517
884	26837	3487
885	26866	3456
886	26897	3426
887	26926	3396
888	26955	3365
889	26986	3335
890	27016	3304
891	27046	3274
892	27076	3244
893	27104	3213
894	27132	3183
895	27161	3152
896	27189	3122
897	27217	3091
898	27244	3060
899	27273	3030
900	27304	3000
901	27345	2971
902	27381	2941
903	27420	2911
904	27455	2882
905	27492	2852
906	27529	2822
907	27562	2792
908	27591	2762
909	27621	2731
910	27655	2701
911	27684	2671
912	27712	2640
913	27741	2610
914	27770	2579
915	27800	2549
916	27830	2518
917	27858	2488
918	27886	2457
919	27917	2427
920	27947	2397
921	27978	2366
922	28007	2336
923	28037	2306
924	28067	2275
925	28097	2245
926	28135	2215
927	28165	2185
928	28203	2155
929	28256	2126
930	28296	2097
931	28331	2067
932	28369	2037
933	28404	2007
934	28433	1976
935	28463	1946
936	28492	1915
937	28521	1885
938	28551	1854
939	28581	1824
940	28611	1793
941	28641	1763
942	28670	1732
943	28699	1702
944	28727	1671
945	28756	1641
946	28787	1611
947	28816	1580
948	28847	1550
949	28875	1519
950	28908	1489
951	28967	1460
952	29009	1430
953	29050	1400
954	29088	1370
955	29122	1340
956	29153	1309
957	29184	1279
958	29213	1248
959	29244	1218
960	29272	1187
961	29300	1157
962	29329	1126
963	29360	1096
964	29390	1065
965	29419	1035
966	29447	1004
967	29477	974
968	29504	943
969	29533	913
970	29563	882
971	29592	852
972	29620	821
973	29648	791
974	29677	760
975	29706	730
976	29734	700
977	29763	669
978	29792	639
979	29823	608
980	29853	578
981	29884	547
982	29914	517
983	29948	486
984	29975	456
985	30004	426
986	30032	395
987	30059	365
988	30089	334
989	30119	304
990	30148	273
991	30177	243
992	30205	212
993	30234	182
994	30262	152
995	30291	121
996	30321	91
997	30350	60
998	30379	30
999	30410	0
